num_regions,num_heights,seed,endurance,method,objective,solve_time,mip_gap,first_incumbent_obj,first_incumbent_time,heuristic_obj,heuristic_time,num_ops,status,n_vars,n_constrs
1,2,1,300,heuristic,155.8820,0.01,,,,,0.01,1,HEURISTIC,,
1,2,1,300,edges,122.7195,0.05,0.0000,173.1727,0.00,,0.01,1,OPTIMAL,253,458
1,2,1,300,edges_ws,122.7195,0.05,0.0000,155.8820,0.00,155.8820,0.01,1,OPTIMAL,253,458
1,2,1,450,heuristic,155.8820,0.00,,,,,0.00,1,HEURISTIC,,
1,2,1,450,edges,122.7195,0.06,0.0000,173.1727,0.02,,0.00,1,OPTIMAL,253,458
1,2,1,450,edges_ws,122.7195,0.04,0.0000,155.8820,0.00,155.8820,0.00,1,OPTIMAL,253,458
1,2,1,600,heuristic,155.8820,0.01,,,,,0.01,1,HEURISTIC,,
1,2,1,600,edges,122.7195,0.04,0.0000,173.1727,0.00,,0.01,1,OPTIMAL,253,458
1,2,1,600,edges_ws,122.7195,0.04,0.0000,155.8820,0.00,155.8820,0.01,1,OPTIMAL,253,458
1,2,1,900,heuristic,155.8820,0.01,,,,,0.01,1,HEURISTIC,,
1,2,1,900,edges,122.7195,0.04,0.0000,173.1727,0.00,,0.01,1,OPTIMAL,253,458
1,2,1,900,edges_ws,122.7195,0.04,0.0000,155.8820,0.00,155.8820,0.01,1,OPTIMAL,253,458
1,2,1,1500,heuristic,155.8820,0.01,,,,,0.01,1,HEURISTIC,,
1,2,1,1500,edges,122.7195,0.05,0.0000,173.1727,0.00,,0.01,1,OPTIMAL,253,458
1,2,1,1500,edges_ws,122.7195,0.04,0.0000,155.8820,0.00,155.8820,0.01,1,OPTIMAL,253,458
1,2,1,2400,heuristic,155.8820,0.01,,,,,0.01,1,HEURISTIC,,
1,2,1,2400,edges,122.7195,0.05,0.0000,173.1727,0.01,,0.01,1,OPTIMAL,253,458
1,2,1,2400,edges_ws,122.7195,0.04,0.0000,155.8820,0.00,155.8820,0.01,1,OPTIMAL,253,458
1,2,2,300,heuristic,218.2419,0.02,,,,,0.02,1,HEURISTIC,,
1,2,2,300,edges,218.0815,0.10,0.0000,220.6261,0.01,,0.02,1,OPTIMAL,465,822
1,2,2,300,edges_ws,218.0815,0.11,0.0000,218.2419,0.00,218.2419,0.02,1,OPTIMAL,465,822
1,2,2,450,heuristic,218.2419,0.01,,,,,0.01,1,HEURISTIC,,
1,2,2,450,edges,218.0815,0.12,0.0000,220.6261,0.01,,0.01,1,OPTIMAL,465,822
1,2,2,450,edges_ws,218.0815,0.10,0.0000,218.2419,0.00,218.2419,0.01,1,OPTIMAL,465,822
1,2,2,600,heuristic,218.2419,0.02,,,,,0.02,1,HEURISTIC,,
1,2,2,600,edges,218.0815,0.11,0.0000,220.6261,0.00,,0.02,1,OPTIMAL,465,822
1,2,2,600,edges_ws,218.0815,0.10,0.0000,218.2419,0.00,218.2419,0.02,1,OPTIMAL,465,822
1,2,2,900,heuristic,218.2419,0.00,,,,,0.00,1,HEURISTIC,,
1,2,2,900,edges,218.0815,0.11,0.0000,220.6261,0.00,,0.00,1,OPTIMAL,465,822
1,2,2,900,edges_ws,218.0815,0.13,0.0000,218.2419,0.00,218.2419,0.00,1,OPTIMAL,465,822
1,2,2,1500,heuristic,218.2419,0.01,,,,,0.01,1,HEURISTIC,,
1,2,2,1500,edges,218.0815,0.09,0.0000,220.6261,0.00,,0.01,1,OPTIMAL,465,822
1,2,2,1500,edges_ws,218.0815,0.13,0.0000,218.2419,0.00,218.2419,0.01,1,OPTIMAL,465,822
1,2,2,2400,heuristic,218.2419,0.01,,,,,0.01,1,HEURISTIC,,
1,2,2,2400,edges,218.0815,0.08,0.0000,220.6261,0.01,,0.01,1,OPTIMAL,465,822
1,2,2,2400,edges_ws,218.0815,0.13,0.0000,218.2419,0.00,218.2419,0.01,1,OPTIMAL,465,822
1,2,3,300,heuristic,281.6030,0.02,,,,,0.02,1,HEURISTIC,,
1,2,3,300,edges,279.8482,2.11,0.0000,310.6780,0.02,,0.02,1,OPTIMAL,749,1306
